Value,ar,ca,cs,da,de,el,en,en_AU,en_GB,es,es_419,fi,fr,fr_CA,he,hi,hr,hu,id,it,ja,ko,ms,nl,no,pl,pt,pt_PT,ro,ru,sk,sv,th,tr,uk,vi,zh_CN,zh_HK,zh_TW
4282601983,أحمر,Vermell,Červená,Rød,Rot,Κόκκινο,Red,Red,Red,Rojo,Rojo,Punainen,Rouge,Rouge,אדום,लाल,Crvena,Vörös,Merah,Rosso,レッド,빨간색,Merah,Rood,Rød,Czerwony,Vermelho,Vermelho,Roșu,Красный,Červená,Röd,สีแดง,Kırmızı,Червоний,Đỏ,红色,紅色,紅色
4251333119,برتقالي,Taronja,Oranžová,Orange,Orange,Πορτοκαλί,Orange,Orange,Orange,Naranja,Naranja,Oranssi,Orange,Orange,כתום,नारंगी,Narančasta,Narancssárga,Oranye,Arancione,オレンジ,주황색,Jingga,Oranje,Oransje,Pomarańczowy,Laranja,Laranja,Portocaliu,Оранжевый,Oranžová,Orange,สีส้ม,Turuncu,Оранжевий,Cam,橙色,橙色,橙色
4271458815,يوسفي,Mandarina,Mandarinková,Mørkorange,Mandarine,Μανταρινί,Tangerine,Tangerine,Tangerine,Mandarina,Mandarina,Mandariini,Mandarine,Tangerine,מנדרינה,नारंगी,Mandarina,Mandarin,Buah Jeruk,Mandarancio,タンジェリン,귤색,Tangerin,Mandarijn,Mandarin,Mandarynkowy,Tangerina,Tangerina,Mandarină,Мандариновый,Mandarínková,Mandarin,สีส้มเขียวหวาน,Mandalina,Мандарин,Quýt,橘红色,柑橘色,橘色
4274264319,أصفر,Groc,Žlutá,Gul,Gelb,Κίτρινο,Yellow,Yellow,Yellow,Amarillo,Amarillo,Keltainen,Jaune,Jaune,צהוב,पीला,Žuta,Sárga,Kuning,Giallo,イエロー,노란색,Kuning,Geel,Gul,Żółty,Amarelo,Amarelo,Galben,Желтый,Žltá,Gul,สีเหลือง,Sarı,Жовтий,Vàng,黄色,黃色,黃色
4292093695,أخضر فسفوري,Llima,Limetková,Lime,Limone,Λαχανί,Lime,Lime,Lime,Lima,Limón,Limetti,Citron vert,Lime,ליים,लाइम,Limeta zelena,Citrus,Jeruk Nipis,Lime,ライム,라임색,Hijau Pucuk Pisang,Limoen,Limegrønn,Limonkowy,Lima,Lima,Lămâie verde,Лаймовый,Limetková,Lime,สีเขียวเปลือกมะนาว,Misket Limonu,Лайм,Chanh tây,浅绿色,青檸色,萊姆綠色
431817727,أزرق مخضر,Verd bosc,Petrolejová,Grønblå,Blaugrün,Πετρόλ,Teal,Teal,Teal,Verde azulado,Verde azulado,Vihertävänsininen,Sarcelle,Sarcelle,תכלת,टील,Plavozelena,Récezöld,Hijau Kebiruan,Foglia di tè,ティール,청록색,Biru Kehijauan,Groenblauw,Blågrønn,Morski,Verde-cinza,Verde azulado,Bleu‑verzui,Бирюзовый,Modrozelená,Blågrön,สีน้ำเงินอมเขียว,Deniz Mavisi,Синьо-зелений,Mòng két,深青色,水鴨青色,湖水綠色
1440408063,أزرق فاتح,Blau clar,Světle modrá,Lyseblå,Hellblau,Γαλάζιο,Light Blue,Light Blue,Light Blue,Azul claro,Azul claro,Vaaleansininen,Bleu clair,Bleu clair,כחול בהיר,हल्का नीला,Svjetloplava,Világoskék,Biru Terang,Blu chiaro,ライトブルー,밝은 파란색,Biru Muda,Lichtblauw,Lyseblå,Jasnoniebieski,Azul-claro,Azul claro,Albastru deschis,Светло‑голубой,Svetlomodrá,Ljusblå,สีฟ้าอ่อน,Açık Mavi,Блакитний,Lam nhạt,淡蓝色,淺藍色,淡藍色
463140863,أزرق,Blau,Modrá,Blå,Blau,Μπλε,Blue,Blue,Blue,Azul,Azul,Sininen,Bleu,Bleu,כחול,नीला,Plava,Kék,Biru,Blu,ブルー,파란색,Biru,Blauw,Blå,Niebieski,Azul,Azul,Albastru,Синий,Modrá,Blå,สีน้ำเงิน,Mavi,Синій,Lam,蓝色,藍色,藍色
946986751,كحلي,Blau marí,Námořnická modrá,Marineblå,Marineblau,Θαλασσί,Navy,Navy,Navy,Azul marino,Azul marino,Laivastonsininen,Bleu marine,Bleu marine,כחול לילה,नेवी,Mornarskoplava,Tengerészkék,Biru Laut,Blu scuro,ネイビー,네이비색,Biru Kelasi,Marineblauw,Marineblå,Granatowy,Azul-marinho,Marinho,Bleumarin,Флотский синий,Námornícka,Marinblå,สีนาวี,Lacivert,Темно-синій,Navy,海军蓝,海軍藍色,海軍藍色
2071128575,عنابي,Bordeus,Révová,Vindrue,Traube,Σταφύλι,Grape,Grape,Grape,Uva,Uva,Viinirypäle,Raisin,Raisin,ענב,अँगूरी,Boja grožđa,Szőlő,Anggur,Uva,グレープ,포도색,Anggur,Druif,Mørk lilla,Szarofioletowy,Uva,Uva,Strugure,Виноград,Hroznová,Mörklila,สีองุ่น,Üzüm,Виноград,Nho,葡萄紫,葡萄紫色,葡萄紫色
3679049983,أرجواني,Morat,Fialová,Violet,Lila,Μοβ,Purple,Purple,Purple,Morado,Morado,Violetti,Violet,Violet,סגול,जामुनी,Ljubičasta,Lila,Ungu,Viola,パープル,보라색,Ungu,Paars,Lilla,Purpurowy,Roxo,Roxo,Violet,Лиловый,Fialová,Lila,สีม่วง,Mor,Пурпуровий,Tía,紫色,紫色,紫色
3980825855,زهري,Rosa,Růžová,Lyserød,Rosa,Ροζ,Pink,Pink,Pink,Rosa,Rosa,Pinkki,Rose,Rose,ורוד,गुलाबी,Ružičasta,Rózsaszín,Pink,Rosa,ピンク,분홍색,Merah Jambu,Lichtroze,Rosa,Różowy,Rosa,Rosa,Roz,Розовый,Ružová,Rosa,สีชมพู,Pembe,Рожевий,Hồng,粉红色,粉紅色,粉紅色
255,أزرق رمادي,Gris-blau,Šedomodrá,Gråblå,Graublau,Γκρι-μπλε,Gray Blue,Grey Blue,Grey Blue,Azul grisáceo,Azul grisáceo,Harmaansininen,Gris-bleu,Bleu gris,אפור כחול,धूसर नीला,Sivoplava,Szürkéskék,Biru Keabuan,Grigio blu,グレイブルー,회청색,Biru Kelabu,Grijsblauw,Gråblå,Szaroniebieski,Cinza-azul,Azul acinzentado,Albastru-gri,Серо‑голубой,Sivomodrá,Gråblå,สีน้ำเงินอมเทา,Gri Mavi,Сіро-блакитний,Lam xám,灰蓝色,灰藍色,灰藍色
3031607807,أخضر رمادي,Gris-verd,Šedozelená,Grågrøn,Graugrün,Γκρι-πράσινο,Gray Green,Grey Green,Grey Green,Verde grisáceo,Verde grisáceo,Harmaanvihreä,Gris-vert,Vert gris,אפור ירוק,धूसर हरा,Sivozelena,Szürkészöld,Hijau Keabuan,Grigio verde,グレイグリーン,회녹색,Hijau Kelabu,Grijsgroen,Grågrønn,Szarozielony,Cinza-verde,Verde acinzentado,Verde-gri,Серо-зеленый,Sivozelená,Grågrön,สีเขียวอมเทา,Gri Yeşil,Сіро-зелений,Lục xám,灰绿色,灰綠色,灰綠色
2846468607,بني رمادي,Gris-marró,Šedohnědá,Gråbrun,Graubraun,Γκρι-καφέ,Gray Brown,Grey Brown,Grey Brown,Marrón grisáceo,Café grisáceo,Harmaanruskea,Gris-marron,Brun gris,אפור חום,धूसर भूरा,Sivosmeđa,Szürkésbarna,Cokelat Keabuan,Grigio marrone,グレイブラウン,회갈색,Perang Kelabu,Grijsbruin,Gråbrun,Szarobrązowy,Cinza-marrom,Castanho acinzentado,Maro-gri,Серо-коричневый,Sivohnedá,Gråbrun,สีน้ำตาลอมเทา,Gri Kahverengi,Сіро-коричневий,Nâu xám,灰棕色,灰棕色,灰棕色
